店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
街のCafe,豊中市,カフェ,,,1,,-,-,大阪府豊中市赤阪1-1-9-1
もくもく亭 豊中店,豊中市,焼肉,,3.16,35,731,"￥4,000～￥4,999",-,大阪府豊中市赤阪1丁目1-17
BAR GEAR,豊中市,バー,,3.02,1,53,"￥2,000～￥2,999",-,大阪府豊中市旭丘5-104
ガスト 豊中旭丘店,豊中市,ファミレス,,3.03,18,78,"￥1,000～￥1,999",～￥999,大阪府豊中市旭丘4-130
キャコタ,豊中市,たこ焼き、お好み焼き,,3.06,9,103,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市旭丘5-105
米俵,豊中市,中華料理、食堂、喫茶店,,3.03,5,58,-,-,大阪府豊中市旭丘1-12
いかり 豊中店,豊中市,コンビニ・スーパー,,3.07,4,18,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市旭丘1-12
Cafe claps,園田駅 887m,カフェ,,3.12,15,387,-,"￥1,000～￥1,999",大阪府豊中市今在家町8-6
ペコーラパーラ,豊中市,カフェ、ケーキ,,3.21,30,929,-,"￥1,000～￥1,999",大阪府豊中市今在家町20-6
鮨 こだん,少路（大阪モノレール）駅 523m,寿司,,3.48,23,1542,"￥10,000～￥14,999","￥10,000～￥14,999",大阪府豊中市上野坂2-1-19
ギュルリーシュシュ,少路（大阪モノレール）駅 592m,カフェ,,,21,,-,-,大阪府豊中市上野坂1-4-10
Bleu Bar,少路（大阪モノレール）駅 494m,バー,,3.04,3,67,"￥3,000～￥3,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 1F
凡夫 ウエノサカ,少路（大阪モノレール）駅 493m,居酒屋,,3.14,7,324,"￥6,000～￥7,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 104
凡夫 ウエノサカ,少路（大阪モノレール）駅 501m,居酒屋、日本料理,,3.14,12,402,"￥3,000～￥3,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 1F
cafe 308,少路（大阪モノレール）駅 495m,カフェ,,3.02,3,514,-,-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 202
きまぐれ,少路（大阪モノレール）駅 472m,バー,,,10,,-,-,大阪府豊中市上野坂2-3-3 エルベラーノ上野坂
カルチャー&ブックカフェ ピコ,少路（大阪モノレール）駅 472m,カフェ,,3.02,1,14,-,-,大阪府豊中市上野坂2-3-3 エルベラーノ上野坂 1F
シープ・シープ,豊中市,パン,,3.36,48,1036,～￥999,-,大阪府豊中市上野西2丁目19-3
お出汁の薫る家庭料理 あきゑ,豊中駅 979m,居酒屋,,3.03,6,150,-,-,大阪府豊中市上野西2-2-30
スンドゥブ専門店 K.A.M,少路（大阪モノレール）駅 500m,韓国料理,,3.47,255,9398,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野西3-17-18
54closet,少路（大阪モノレール）駅 752m,ケーキ,,3.06,4,117,-,～￥999,大阪府豊中市上野西3-13-62
満留美,豊中市,日本料理、寿司,,3.1,9,126,-,-,大阪府豊中市上野西1-13-7
